epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,20675.8,0.04712,1.07592,0.88716,0.70644,0.74782,0.79939,0.79922,0.15571,0.73768,0.30653,0.005842,0.005842,0.005842
44,21144.5,0.04879,1.07752,0.88958,0.71066,0.74965,0.805,0.805,0.09618,0.69449,0.23639,0.005743,0.005743,0.005743
45,21624.2,0.0474,1.06843,0.88836,0.71994,0.74891,0.80861,0.80861,0.07379,0.66089,0.21336,0.005644,0.005644,0.005644
46,22109.9,0.04629,1.06052,0.88594,0.7159,0.75897,0.80892,0.80892,0.07719,0.66744,0.21937,0.005545,0.005545,0.005545
47,22599,0.04587,1.05838,0.88631,0.70753,0.76436,0.80874,0.80874,0.0876,0.68154,0.234,0.005446,0.005446,0.005446
48,23084.7,0.04556,1.06117,0.8878,0.70876,0.7628,0.80907,0.80907,0.08168,0.67583,0.22528,0.005347,0.005347,0.005347
49,23570.9,0.04482,1.05193,0.88648,0.70987,0.76421,0.81006,0.81006,0.07627,0.66907,0.2167,0.005248,0.005248,0.005248
50,24051.4,0.04471,1.04638,0.88468,0.72009,0.75537,0.81074,0.81074,0.07936,0.67702,0.21765,0.005149,0.005149,0.005149
51,24525,0.04349,1.04697,0.88631,0.72422,0.75369,0.81037,0.81037,0.12662,0.71815,0.27403,0.00505,0.00505,0.00505
52,25005.8,0.04408,1.04739,0.88373,0.71253,0.75999,0.80933,0.80929,0.17214,0.72882,0.33106,0.004951,0.004951,0.004951
53,25490.2,0.04317,1.03713,0.88709,0.70906,0.76448,0.80945,0.8094,0.18098,0.72933,0.34214,0.004852,0.004852,0.004852
54,25966.1,0.04474,1.0369,0.88617,0.70483,0.76837,0.81012,0.81005,0.18317,0.72906,0.34465,0.004753,0.004753,0.004753
55,26445.9,0.04288,1.03386,0.88575,0.7148,0.75588,0.81103,0.81094,0.18199,0.72875,0.34376,0.004654,0.004654,0.004654
56,26928.1,0.04224,1.0346,0.88532,0.71295,0.76091,0.81148,0.81136,0.18217,0.72837,0.34427,0.004555,0.004555,0.004555
57,27414,0.04258,1.02793,0.88467,0.71853,0.75518,0.81194,0.81182,0.18229,0.72819,0.34444,0.004456,0.004456,0.004456
58,27898.3,0.04155,1.02414,0.88587,0.71672,0.75839,0.81242,0.81225,0.18369,0.72818,0.34615,0.004357,0.004357,0.004357
59,28377.5,0.04126,1.02571,0.88615,0.71655,0.75803,0.81286,0.8127,0.18358,0.72815,0.34608,0.004258,0.004258,0.004258
60,28864.6,0.04141,1.0168,0.88668,0.70845,0.76763,0.81289,0.81269,0.18456,0.72822,0.34722,0.004159,0.004159,0.004159
61,29350,0.04057,1.01701,0.88647,0.7071,0.76857,0.81342,0.81323,0.18552,0.72849,0.34838,0.00406,0.00406,0.00406
62,29833.6,0.04018,1.00797,0.88299,0.7076,0.76727,0.81371,0.81354,0.18572,0.72871,0.34857,0.003961,0.003961,0.003961
