epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3299.25,0.03443,0.62465,0.90319,0.72477,0.77068,0.82343,0.82343,0.20327,0.71728,0.3508,0.007921,0.007921,0.007921
44,3547.71,0.03482,0.61563,0.90159,0.72994,0.7674,0.82526,0.82525,0.20457,0.71364,0.35259,0.0078715,0.0078715,0.0078715
45,3796.11,0.03356,0.61146,0.90124,0.72783,0.77177,0.82557,0.82557,0.21058,0.71351,0.35933,0.007822,0.007822,0.007822
46,4044.25,0.03307,0.6074,0.9035,0.7268,0.77376,0.82604,0.82604,0.2048,0.71514,0.35313,0.0077725,0.0077725,0.0077725
47,4292.29,0.0327,0.59844,0.90232,0.72995,0.76925,0.82633,0.82633,0.20521,0.71544,0.35296,0.007723,0.007723,0.007723
48,4540.45,0.03204,0.59683,0.90207,0.73096,0.77029,0.82744,0.82744,0.20621,0.71035,0.35393,0.0076735,0.0076735,0.0076735
49,4788.4,0.03231,0.59346,0.90149,0.73064,0.77301,0.82749,0.82749,0.21163,0.71188,0.35989,0.007624,0.007624,0.007624
50,5036.77,0.0314,0.58032,0.9022,0.73119,0.77048,0.82785,0.82785,0.21369,0.71348,0.36288,0.0075745,0.0075745,0.0075745
51,5284.72,0.03155,0.58286,0.90054,0.73492,0.76856,0.82803,0.82802,0.21605,0.71629,0.36598,0.007525,0.007525,0.007525
52,5532.61,inf,0.57827,0.90272,0.73427,0.76982,0.82765,0.82765,0.21616,0.71716,0.36588,0.0074755,0.0074755,0.0074755
53,318.57,0.03006,0.51319,0.89939,0.73427,0.77249,0.82818,0.82817,0.21438,0.71887,0.36378,0.007426,0.007426,0.007426
54,621.197,0.03264,0.53802,0.9,0.73227,0.77409,0.82845,0.82844,0.21168,0.71257,0.36055,0.0073765,0.0073765,0.0073765
55,258.935,0.02886,0.47774,0.89885,0.73033,0.77426,0.82833,0.82832,0.21189,0.71726,0.36075,0.007327,0.007327,0.007327
56,512.268,inf,0.52557,0.89924,0.72864,0.7762,0.82812,0.82811,0.21132,0.71843,0.36008,0.0072775,0.0072775,0.0072775
57,764.163,0.0301,0.53696,0.90025,0.72378,0.77931,0.82805,0.82804,0.21107,0.72003,0.35938,0.007228,0.007228,0.007228
58,1016.62,0.03022,0.5254,0.90025,0.72392,0.77927,0.82874,0.82873,0.21142,0.72055,0.35965,0.0071785,0.0071785,0.0071785
59,1269.86,0.03088,0.52878,0.90066,0.71996,0.78378,0.8288,0.82879,0.21057,0.72096,0.35877,0.007129,0.007129,0.007129
60,1522.82,0.03062,0.52228,0.9014,0.71989,0.78406,0.82882,0.82881,0.21008,0.72237,0.35788,0.0070795,0.0070795,0.0070795
61,1775.44,0.0302,0.51088,0.90091,0.72123,0.78262,0.82876,0.82876,0.20863,0.72298,0.35596,0.00703,0.00703,0.00703
62,2028.15,0.03102,0.50818,0.90042,0.71891,0.78527,0.8287,0.82869,0.20774,0.72395,0.35492,0.0069805,0.0069805,0.0069805
63,2280.38,0.03016,0.49992,0.89951,0.71805,0.78665,0.82889,0.82888,0.20708,0.72528,0.35404,0.006931,0.006931,0.006931
64,2533.14,0.02931,0.49464,0.90271,0.71418,0.79128,0.82879,0.82878,0.20625,0.72622,0.3534,0.0068815,0.0068815,0.0068815
65,2784.53,0.0296,0.49045,0.89878,0.71458,0.78974,0.82894,0.82893,0.20523,0.72713,0.35217,0.006832,0.006832,0.006832
66,3035.87,0.02977,0.49071,0.90095,0.71664,0.78848,0.82907,0.82906,0.20566,0.7279,0.35247,0.0067825,0.0067825,0.0067825
67,3288.3,0.02943,0.4901,0.90148,0.71578,0.79222,0.82926,0.82925,0.20538,0.72899,0.35176,0.006733,0.006733,0.006733
68,3540.49,0.02958,0.48632,0.89988,0.71481,0.79226,0.82929,0.82928,0.2054,0.72987,0.35178,0.0066835,0.0066835,0.0066835
69,3792.95,0.02973,0.49168,0.90011,0.71311,0.79302,0.82944,0.82943,0.20526,0.72955,0.35189,0.006634,0.006634,0.006634
70,4045.41,0.02829,0.47816,0.9022,0.71042,0.79521,0.82947,0.82946,0.20439,0.72911,0.35085,0.0065845,0.0065845,0.0065845
71,4297.62,0.02786,0.47637,0.90097,0.71351,0.79251,0.82947,0.82946,0.20338,0.72902,0.34964,0.006535,0.006535,0.006535
72,4549.88,0.02907,0.47812,0.90084,0.7137,0.7937,0.82962,0.82961,0.20313,0.72883,0.34932,0.0064855,0.0064855,0.0064855
73,4802.53,0.02881,0.47609,0.90028,0.71338,0.79381,0.82963,0.82962,0.20309,0.7283,0.34922,0.006436,0.006436,0.006436
74,5055.24,0.02996,0.4743,0.90176,0.71354,0.79561,0.82966,0.82965,0.20265,0.72798,0.349,0.0063865,0.0063865,0.0063865
75,5307.58,0.02921,0.48087,0.89988,0.72031,0.78442,0.82964,0.82962,0.20226,0.72805,0.34852,0.006337,0.006337,0.006337
76,5560.18,0.02921,0.47651,0.90078,0.7149,0.79326,0.82971,0.8297,0.20187,0.72785,0.34796,0.0062875,0.0062875,0.0062875
77,5813.05,inf,0.47299,0.89868,0.71578,0.79235,0.82967,0.82966,0.2015,0.72763,0.34738,0.006238,0.006238,0.006238
78,6065.25,0.02977,0.45693,0.8991,0.71677,0.79112,0.8298,0.82978,0.20088,0.72714,0.3468,0.0061885,0.0061885,0.0061885
79,6317.34,0.02889,0.45555,0.89801,0.71808,0.78902,0.82992,0.8299,0.20061,0.7269,0.34632,0.006139,0.006139,0.006139
80,6570.01,0.02853,0.44768,0.89829,0.72085,0.78568,0.83007,0.83005,0.20007,0.72702,0.34533,0.0060895,0.0060895,0.0060895
81,6822.3,0.02755,0.44616,0.90009,0.71975,0.78624,0.83008,0.83006,0.19949,0.72674,0.34456,0.00604,0.00604,0.00604
82,7074.85,0.02836,0.43599,0.90001,0.72,0.78424,0.8302,0.83018,0.19834,0.72618,0.34356,0.0059905,0.0059905,0.0059905
83,7327.54,0.02845,0.42443,0.89847,0.71579,0.79529,0.8304,0.83038,0.19729,0.72633,0.34235,0.005941,0.005941,0.005941
84,7579.82,0.02899,0.43159,0.9002,0.71927,0.78723,0.83068,0.83066,0.19708,0.72683,0.34218,0.0058915,0.0058915,0.0058915
85,7832.23,0.02802,0.42086,0.89922,0.71847,0.79289,0.83062,0.83061,0.19677,0.72651,0.34185,0.005842,0.005842,0.005842
86,8084.45,0.02805,0.4192,0.90003,0.72316,0.78315,0.83065,0.83064,0.19673,0.72631,0.34197,0.0057925,0.0057925,0.0057925
87,8337.11,0.02897,0.40565,0.89892,0.72296,0.78464,0.83099,0.83098,0.19685,0.72608,0.34196,0.005743,0.005743,0.005743
88,8589.36,0.0275,0.40233,0.90025,0.72193,0.78543,0.83121,0.8312,0.19639,0.72615,0.34145,0.0056935,0.0056935,0.0056935
89,8840.9,0.02919,0.39422,0.90053,0.71797,0.78936,0.83124,0.83122,0.19633,0.72601,0.34118,0.005644,0.005644,0.005644
90,9093.72,0.02833,0.38921,0.89929,0.71552,0.79296,0.83152,0.83151,0.19614,0.72525,0.34084,0.0055945,0.0055945,0.0055945
91,9346.11,0.02822,0.38701,0.89883,0.71691,0.79241,0.83158,0.83157,0.19568,0.72515,0.34005,0.005545,0.005545,0.005545
92,9598.46,0.02711,0.37749,0.90062,0.71814,0.79222,0.83163,0.83162,0.19585,0.72562,0.34003,0.0054955,0.0054955,0.0054955
93,9850.55,0.02741,0.37356,0.899,0.7184,0.79311,0.83186,0.83185,0.19543,0.72553,0.33957,0.005446,0.005446,0.005446
94,10103.1,0.02712,0.3644,0.90067,0.72044,0.79161,0.83185,0.83183,0.1952,0.72666,0.33907,0.0053965,0.0053965,0.0053965
95,10355.3,0.02739,0.36112,0.89655,0.71918,0.79259,0.8318,0.83179,0.19502,0.72786,0.33874,0.005347,0.005347,0.005347
96,10607.7,0.02744,0.35345,0.90029,0.7249,0.78604,0.83206,0.83204,0.19473,0.72952,0.33858,0.0052975,0.0052975,0.0052975
97,10860,0.02806,0.34907,0.89917,0.72775,0.78277,0.83201,0.832,0.19392,0.73002,0.33759,0.005248,0.005248,0.005248
98,11112.6,0.02709,0.34653,0.898,0.7281,0.78169,0.83214,0.83212,0.19314,0.7299,0.33661,0.0051985,0.0051985,0.0051985
99,11364.9,0.02821,0.33923,0.89938,0.73641,0.77463,0.83218,0.83217,0.19236,0.73054,0.33564,0.005149,0.005149,0.005149
100,11617.4,0.0266,0.33669,0.8986,0.73978,0.77168,0.8322,0.83218,0.19147,0.73095,0.33474,0.0050995,0.0050995,0.0050995
101,11869.9,0.0276,0.33596,0.89983,0.73919,0.7737,0.83217,0.83216,0.19076,0.73056,0.33347,0.00505,0.00505,0.00505
